title,url
86: Eighty Six,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6_FbbPAl4QljpBwXlWJyzX
Ahiru no Sora,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6r8ugq0OqA8Ungyal5bxZz
Akame ga Kill,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4CdbR2BusDV7g0wVC2CbSS
Ao Ashi,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7h0ZU3WSjhTNYoGf_zIaaq
Ao no Exorcist,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5w8Vhd9Yz4ZOnRXZhny9_5
Baki,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5bHTV8BuHIfua84SdRpd7z
Banana Fish,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4WabdKRYMa4j0sPtPJ7MaB
Black Butler,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5OvtNYxIkOUh5QCjxUdPlk
Black Clover,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4H2QESe3tRn3UWuAqm9x6S
Bleach,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6IsAf2mhJKYQsKHcEaxKC0
Blue Box,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5zgUWbzvPhOzx1N9eRlVXx
Blue Lock,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6-tCRiVdjBD9QP9NpP6PkO
Bocchi the Rock!,https://www.youtube.com/playlist?list=PLvZvtO-L5oh6hwOMN9mjD2aqrMLh3bk_E
Boku no Hero Academia,https://www.youtube.com/playlist?list=PLvZvtO-L5oh53-Nkv5oU_NHkzLV255Ipq
Boruto,https://youtube.com/playlist?list=PLvZvtO-L5oh4EE0w6NPtzu2lijGoX-C-F&si=-ePDHJerIMTs3UBB
Bungo Stray Dogs,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7IEwpJw0FEfFJoc3WoEKMQ
Call of the Night,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4a7Whm6yynGU7JFaaNUD6c
Chainsaw Man,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5tn3_30D5pZ_CBoR6Kg1Ha
Code Geass,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7LXgYoxHLo3jqa4HLNmWBd
Cowboy Bebop,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4KTIyerRTExSZNMHWT7_L_
Dan da dan,https://www.youtube.com/playlist?list=PLvZvtO-L5oh5JF-EmkfIdqZ-KVBROwvBZ
Darker than Black,https://www.youtube.com/playlist?list=PLvZvtO-L5oh7yHORDxYlof1gbPRSuHTcD
Death Note,https://www.youtube.com/playlist?list=PLvZvtO-L5oh4_XrY1nx3XmwzxfeUEYaZe
